번호,사업자명,대표,업종,지역,유효기간 만료일,홈페이지
91,(주)의상재,김의식,건설업,경기 하남시,2017-04-07,
92,(주)태원엔앤드에프,최종일,도소매업,경기 이천시,2017-04-07,
93,(주)우진교역,박경호,제조업,경북 의성군,2017-04-07,
94,(주)무빙파워텍,이주동,건설업,경기 시흥시,2017-04-07,
95,(주)제이씨코퍼레이션,조규억,제조업,서울 금천구,2017-04-08,
96,휘트니맥스(주),임 스티브순,도매및소매업,서울 용산구,2017-04-08,
97,블루 팀,이병국,제조업,서울 강북구,2017-04-08,
98,(주)이지오인터내셔날,김동석,제조업,서울 중구,2017-04-08,
99,(주)이앤아이티홀딩스,김현철,도매및소매업,서울 중구,2017-04-08,
100,(주)발론,정홍석,도매및소매업,서울 강남구,2017-04-08,
101,상동산업(주),하동균,제조업,인천 남동구,2017-04-08,
102,와이피피,백종만,제조업,서울 금천구,2017-04-08,
103,예임인터내셔날(주),최현준,도매및소매업,서울 중구,2017-04-08,
104,진화전기통신(주),김정환,제조업,서울 금천구,2017-04-08,
105,(주)에어팜,임용철,도매및소매업,서울 강서구,2017-04-08,
106,(주)인터클러스터시스템,배영춘,도매및소매업,서울 금천구,2017-04-08,
107,상명진흥(주),성정헌,기타,서울 동대문구,2017-04-08,
108,(주)비티에스시,유희식,도소매업,서울 양천구,2017-04-08,
109,(주)세양인터내셔널,김형선,도매및소매업,서울 강남구,2017-04-08,
110,세미기업(주),김재동,도매및소매업,서울 서초구,2017-04-08,
111,(주)대한패브릭,서 한 집,제조업,서울 종로구,2017-04-08,
112,에이치앤프랜즈 주식회사,김항우,운수업,서울 강서구,2017-04-08,
113,가인상사,박은현,도매및소매업,서울 서초구,2017-04-08,
114,(주)디지털프라자용산,박영섭,지식서비스,서울 용산구,2017-04-08,
115,해우지엘에스,김진일,운수업,서울 강서구,2017-04-08,
116,주식회사 케이씨스,김철,도매및소매업,서울 성동구,2017-04-08,
117,(주)나라물산,신왕수,제조업,서울 동대문구,2017-04-08,
118,(주)라파철강,이성근,도매및소매업,서울 영등포구,2017-04-08,
119,(주)씨에스베스트,한동한,도매및소매업,서울 서초구,2017-04-08,
120,새한철강(주),김정근,도소매업,전북 익산시,2017-04-09,
121,(주)에스엠텍,신용우,제조업,경남 함안군,2017-04-09,
122,지피에스코리아(주),이종구,제조업,충남 아산시,2017-04-09,
123,주식회사 천일공조,천희욱,제조업,경북 성주군,2017-04-09,
124,(주)나우테크,박종수,제조업,경북 구미시,2017-04-09,
125,전인식품(주),전인철,제조업,경남 창원시,2017-04-09,
126,신흥영농조합법인,이재섭,도매및소매업,경북 영천시,2017-04-09,
127,(주)영건문화,송윤주,건설업,경북 예천군,2017-04-09,
128,장원건설(주),임성환,건설업,대전 중구,2017-04-09,
129,(주)경일테크,정순태,제조업,경남 창원시,2017-04-09,
130,(주)숭원산업,이숭,제조업,경북 군위군,2017-04-09,
131,세명철강(주),이진기,도매및소매업,대구 북구,2017-04-09,
132,주식회사 지팜,김천규,제조업,충북 음성군,2017-04-09,
133,하안유산부인과,하태규,보건 및 사회복지사업,충북 청주시,2017-04-09,
134,(주)나노믹,남경민,제조업,경북 경주시,2017-04-09,
135,한국아이네스(주),정성욱,제조업,경북 경주시,2017-04-09,
136,(주)새한성푸드,황선희,제조업,인천 계양구,2017-04-10,
137,동신에너지,장규열,도소매업,경기 화성시,2017-04-10,
