번호,사업자명,대표,업종,지역,유효기간 만료일
2166,(주)엠에이텍,황재기,기계금속,대구 달서구,2018-01-04
2167,(주)엠엠티오토모티브,박해준,기타,대구 달서구,2018-10-22
2168,"(주)엠이티(M.E.T Co.,Ltd)",김영삼,전기전자,대전 유성구,2018-11-01
2169,(주)엠케이티,곽종신,기계금속,경기 시흥시,2018-12-23
2170,(주)엠코코아,김상덕,S/W,서울 마포구,2018-11-17
2171,(주)엠투커뮤니티,한동석,서비스,서울 성동구,2018-05-25
2172,(주)연우라이팅,오석진,전기전자,경기 수원시,2018-08-11
2173,(주)연우피씨엔지니어링,이종민,서비스,서울 서초구,2018-01-21
2174,(주)영도시큐리티,김강민,정보통신,서울 성북구,2018-05-31
2175,(주)영사이언스,정광덕,바이오,경기 부천시,2018-09-16
2176,(주)영운산업,전용택,기타,부산 사상구,2018-12-17
2177,(주)영인이엔지,김길룡,기계금속,대구 달성군,2018-06-15
2178,(주)영인이엔지,조창현,기타,경기 화성시,2018-07-20
2179,(주)영일랩스,최태원,기타,대구 달성군,2018-11-25
2180,(주)영진,이진희,기계금속,경남 양산시,2018-11-26
2181,(주)영진테크,노기우,화학,경기 부천시,2018-07-27
2182,(주)영천씰테크,위찬옥,기타,경기 여주시,2018-09-03
2183,(주)영평식품,이성구,바이오,세종 영평사길,2018-05-19
2184,(주)예노텍스타일,장소영,섬유,서울 광진구,2018-12-28
2185,(주)예스코리아,이성진,기계금속,경북 상주시,2018-12-15
2186,(주)예스쿨,이중규,전기전자,경기 부천시,2018-06-14
2187,(주)오뉴이노베이션,박상택,S/W,서울 구로구,2018-04-05
2188,(주)오더,이성수,S/W,서울 서초구,2018-11-30
2189,(주)오디에이테크놀로지,김정석,전기전자,인천 부평구,2018-06-17
2190,(주)오리엔텍,김재환,전기전자,경기 성남시,2018-06-21
2191,(주)오리온햄프로,함장영,기타,서울 양천구,2018-12-22
2192,(주)오성기전,박해용,기계금속,경남 창원시,2018-10-22
2193,(주)오션네트웍스,김길용,정보통신,경북 포항시,2018-08-20
2194,(주)오스테오닉,이동원,기타,서울 구로구,2018-03-18
2195,(주)오픈프레스,김도영,서비스,서울 성동구,2018-10-21
2196,(주)온돌라이프,박명숙,기타,전남 화순군,2018-04-27
2197,(주)온라인파워스,배동혁,S/W,서울 구로구,2018-12-08
2198,(주)온웨어,조봉관,S/W,부산 해운대구,2018-09-30
2199,(주)올리브,이남주,식품,경기 포천시,2018-08-24
2200,(주)올플러스,김병민,정보통신,서울 마포구,2018-09-29
2201,(주)옵스,김상용,바이오,부산 남구,2018-12-17
2202,(주)와우소프트,윤승희,S/W,부산 해운대구,2018-05-25
2203,(주)와이드컷,한정수,기계금속,경기 화성시,2018-07-16
2204,(주)와이디,배원섭,기타,경기 김포시,2018-02-23
2205,(주)와이엔케이헬스케어,윤남국,기타,경기 안성시,2018-01-26
2206,(주)와이제이테크,이상근,기타,경북 포항시,2018-06-22
2207,(주)와이즈랩,윤원환,전기전자,대구 북구,2018-06-09
2208,(주)와이즈콘,홍두영,전기전자,경기 안양시,2018-05-31
2209,(주)용성테크,김성현,기타,경기 시흥시,2018-01-26
2210,(주)용진기업,허용,전기전자,경기 김포시,2018-06-21
2211,(주)우담라이팅,이성기,전기전자,경기 김포시,2018-03-29
2212,(주)우드메탈,김춘수,기타,경기 남양주시,2018-12-20
2213,(주)우드코리아,김옥희,기타,경기 김포시,2018-12-13
2214,(주)우리별,이정석,정보통신,경기 김포시,2018-05-10
2215,(주)우리엔아이에스,백창준,정보통신,서울 송파구,2018-02-23
2216,(주)우리엔지니어링,이문효,전기전자,경기 시흥시,2018-06-28
2217,(주)우리일렉,장영주,기타,경기 부천시,2018-09-08
2218,(주)우리텍,김완복,건설,광주 서구,2018-10-06
2219,(주)우빈기술공사,조연우,건설,전남 여수시,2018-12-01
2220,(주)우석켐,신희범,화학,충북 음성군,2018-07-02
2221,(주)우성에너텍,김미정,기타,경남 김해시,2018-06-25
2222,(주)우성케미칼,정우석,화학,충남 천안시,2018-06-09
2223,(주)우성하이텍,이형채,기계금속,경기 부천시,2018-04-05
2224,(주)우신방적,남용욱,섬유,서울 동대문구,2018-05-10
2225,(주)우신식품,성백수,기타,경기 포천시,2018-01-26
2226,(주)우신에스엠씨,김원희,기타,충북 제천시,2018-07-28
2227,(주)우신화학,"채제욱,박세진",화학,경기 평택시,2018-10-18
2228,(주)우양씨앤지,김형식,환경,경기 김포시,2018-06-07
2229,(주)우영,이점용,전기전자,경기 군포시,2018-06-14
2230,(주)우영메디칼,이영규,바이오,충북 진천군,2018-08-24
2231,(주)우원기계,조명래,기계금속,경기 안산시,2018-02-15
2232,(주)우진,서정우,기계금속,충남 서산시,2018-10-18
2233,(주)우향우,차용범,식품,경기 안성시,2018-12-07
2234,(주)워텍,장경순,전기전자,충남 천안시,2018-01-21
2235,(주)원인터내셔널,윤용주,건설,대구 수성구,2018-03-24
2236,(주)원일정기,오내옥,기계금속,경기 김포시,2018-09-16
2237,(주)월드룩,김동현,섬유,서울 성동구,2018-10-29
2238,(주)월드캐스트,송상섭,기계금속,인천 남동구,2018-07-06
2239,(주)월드텍,강승원,전기전자,경기 안양시,2018-03-25
2240,(주)웨일미디어,김완수외1,서비스,서울 강남구,2018-10-18
2241,(주)웰뷰텍,박재종,전기전자,인천 남구,2018-06-02
2242,(주)웰코,황중국,기타,경북 구미시,2018-06-15
2243,(주)웰티즌,김길환,정보통신,서울 금천구,2018-11-23
2244,(주)웹비스타,장미,서비스,경기 고양시,2018-03-25
2245,(주)위너에코텍,김대수,전기전자,경기 안양시,2018-11-16
2246,(주)위니아글로벌테크,이정권,전기전자,광주 북구,2018-04-29
2247,(주)위델소재,신선호,화학,전북 익산시,2018-12-22
2248,(주)위드바이오코스팜,강진양,바이오,경기 남양주시,2018-04-29
2249,(주)위시스,이정우,기타,경기 군포시,2018-08-16
2250,(주)위지아이,최중영,전기전자,광주 북구,2018-10-13
2251,(주)위치스,고미아,S/W,광주 남구,2018-11-03
2252,(주)윈가람,이형주,기타,전남 나주시,2018-05-07
2253,(주)윈스틸,최상진,기타,강원 원주시,2018-05-19
2254,(주)윈켐,지태영,화학,경북 고령군,2018-06-09
2255,(주)윈테크,김봉준,화학,경남 김해시,2018-09-14
2256,(주)윌스크린,김재섭,환경,경기 안산시,2018-01-26
2257,(주)윔스,강동현,기계금속,경북 영천시,2018-01-11
2258,(주)유경,윤종화,화학,대구 달서구,2018-03-12
2259,(주)유나이브,장득수,전기전자,경기 성남시,2018-08-20
2260,(주)유니비스타,황규필,S/W,서울 강남구,2018-06-28
2261,(주)유니크라미,김원수,기타,부산 강서구,2018-05-17
2262,(주)유닉스,이정민,기계금속,부산 사상구,2018-12-17
2263,(주)유로인스트루먼츠,"박진문, 최재봉",S/W,서울 성북구,2018-04-01
2264,(주)유리네트웍스,박창호,건설,인천 연수구,2018-07-15
2265,(주)유비엠메카트로닉,정재용,기타,경기 화성시,2018-06-14
2266,(주)유씨에스시스템,정인철,S/W,서울 영등포구,2018-05-27
2267,(주)유아이시스,정정근,전기전자,충남 천안시,2018-04-26
2268,(주)유앤피플,유재욱,S/W,서울 구로구,2018-03-03
2269,(주)유일,유인숙,기타,전남 영암군,2018-11-12
2270,(주)유일에프에이,유희국,기계금속,경남 김해시,2018-01-20
2271,(주)유진구조이앤씨,유진오,건설,부산 수영구,2018-11-05
2272,(주)유진글로벌,김수영,섬유,서울 동대문구,2018-03-29
2273,(주)유진금속,최재덕,기타,경기 안산시,2018-09-03
2274,(주)유진엘이디,유원종,전기전자,경기 고양시,2018-04-22
2275,(주)유투에스알,윤사빈,정보통신,서울 성북구,2018-03-15
2276,(주)윤씨네,윤영,전기전자,경기 화성시,2018-04-13
2277,(주)은혜기업,나용근,기계금속,광주 광산구,2018-05-26
2278,(주)이건산전,이용범,전기전자,경기 남양주시,2018-09-08
2279,(주)이너인포,이정균,S/W,서울 구로구,2018-09-23
2280,(주)이노,진정욱,기타,대구 북구,2018-08-20
2281,(주)이노비스시스템,강태욱,서비스,서울 강남구,2018-10-18
2282,(주)이노앤,전종필,서비스,서울 성동구,2018-05-25
2283,(주)이노카,김재건,전기전자,서울 구로구,2018-07-06
2284,(주)이노트리,김병근,정보통신,서울 강남구,2018-06-10
2285,(주)이노필텍,김정우,섬유,경남 창원시,2018-08-18
2286,(주)이담에스티,최명순,정보통신,서울 구로구,2018-06-24
2287,(주)이디케이 스파 솔루션,이현미,기타,서울 영등포구,2018-11-04
2288,(주)이루테크,조현호,기타,경북 성주군,2018-01-07
2289,(주)이루팩,이중배,기타,서울 금천구,2018-05-13
2290,(주)이시스코스메틱,하태석,화학,경기 시흥시,2018-03-04
2291,(주)이앤에스텍,유봉환,전기전자,경기 화성시,2018-04-19
2292,(주)이앤코리아,최정환,화학,전북 전주시,2018-12-27
2293,(주)이에프코리아,강혜숙,기타,경기 평택시,2018-12-20
2294,(주)이엔씨테크,이종희,전기전자,충북 청주시,2018-07-06
2295,(주)이엔에스시스템,엄중식,전기전자,경기 부천시,2018-05-12
2296,(주)이엔이텍,이붕용,기계금속,충남 당진시,2018-05-19
2297,(주)이오니아이엔티,이용철,환경,세종 부강면,2018-07-02
2298,(주)이음스토리,황용구,S/W,서울 성동구,2018-12-03
2299,(주)이젠커뮤니케이션즈,조욱,정보통신,광주 북구,2018-04-14
2300,(주)이지함화장품,최형석,화학,서울 강남구,2018-05-31
2301,(주)이토피아이앤씨,이효섭,건설,경기 안성시,2018-03-25
2302,(주)이티에스,윤진국,기계금속,충남 아산시,2018-04-12
2303,(주)이화정공,정소자,화학,강원 홍천군,2018-12-06
2304,(주)인더스콘,안종건,전기전자,경남 창원시,2018-03-30
2305,(주)인라이플,이근옥,S/W,서울 구로구,2018-11-26
2306,(주)인사커뮤니케이션,김훈,S/W,서울 금천구,2018-09-09
2307,(주)인스페이스,최명진,서비스,대전 유성구,2018-04-12
2308,(주)인정보,인재형,S/W,서울 금천구,2018-01-07
2309,(주)인젝타,심재범,바이오,경기 군포시,2018-05-31
2310,(주)인커뮤니케이션코리아,"정덕영,박상분",서비스,서울 중구,2018-03-08
2311,(주)인터클러스터시스템,배병호,S/W,서울 금천구,2018-05-27
2312,(주)인터파크비즈마켓,허탁,기타,서울 강남구,2018-06-03
2313,(주)인텍이앤씨,이순묵,전기전자,경기 군포시,2018-10-20
2314,(주)인투케어,김병국,기타,경기 양주시,2018-03-05
2315,(주)인퍼스,서미화,기타,충남 당진시,2018-08-23
2316,(주)인페이스,정주택,서비스,경기 용인시,2018-10-18
2317,(주)인포랑,나신택,정보통신,서울 마포구,2018-03-18
2318,(주)일광,정창균,기계금속,강원 원주시,2018-07-08
2319,(주)일국기업,조인선,건설,광주 광산구,2018-05-05
2320,(주)일성산업,송철한,화학,경북 성주군,2018-12-01
2321,(주)일성이엔지,권미숙,기계금속,부산 영도구,2018-04-26
2322,(주)일송엔지니어링,윤경환,기계금속,대구 북구,2018-03-05
2323,(주)자비오씨엔씨,정선욱,전기전자,경기 안산시,2018-11-29
2324,(주)자연과환경,"이병용, 정대열",환경,충남 공주시,2018-10-25
2325,(주)자연속으로,김효남,식품,광주 광산구,2018-08-04
2326,(주)자연인에프앤씨,김병욱,식품,강원 속초시,2018-11-01
2327,(주)자이닉스,유선형,S/W,서울 구로구,2018-09-07
2328,(주)장수커뮤니케이션즈,김현수,정보통신,서울 영등포구,2018-11-24
2329,(주)재현정밀,이종만,기타,경기 화성시,2018-04-13
2330,(주)저널피아,김광희,서비스,서울 구로구,2018-12-02
2331,(주)전자테크,김진태,기타,경기 부천시,2018-05-20
2332,(주)전장하이텍,이소식,전기전자,경기 용인시,2018-04-09
2333,(주)전진티티에스,박정호,기계금속,광주 광산구,2018-07-20
2334,(주)정미푸드,강재구,식품,경기 화성시,2018-04-19
2335,(주)정우산업,최종영,기계금속,경북 영천시,2018-07-09
2336,(주)정우에이엔티,한종국,기계금속,경기 화성시,2018-11-10
2337,(주)정우엔지니어링,김재일,건설,전남 담양군,2018-03-25
2338,(주)정우유압,박기성,기계금속,대구 북구,2018-06-09
2339,(주)제네스트,이전행,기계금속,경기 광명시,2018-01-18
2340,(주)제로하우스,김웅찬,기타,전남 함평군,2018-09-23
2341,(주)제이.텍,전재영,화학,충남 서산시,2018-05-20
2342,(주)제이비씨,박두희,전기전자,경기 고양시,2018-06-07
2343,(주)제이앤씨,심규식,화학,경남 김해시,2018-02-09
2344,(주)제이앤지,이동근,기계금속,충남 아산시,2018-12-28
2345,(주)제이앤티,문정미,서비스,서울 마포구,2018-07-12
2346,(주)제이에스시스템,이상도,S/W,대구 북구,2018-10-18
2347,(주)제이에스케이,정성규,기계금속,경남 창원시,2018-11-26
2348,(주)제이에스테크,조삼증,기계금속,경북 구미시,2018-07-06
2349,(주)제이에스푸드,오정택,섬유,충북 음성군,2018-12-28
2350,(주)제이에이치테크,장기철,기계금속,경남 창원시,2018-06-17
2351,(주)제이엔알쓰리디,최영준,전기전자,경기 고양시,2018-08-20
2352,(주)제이엔에스텍,정창화,바이오,부산 강서구,2018-07-22
2353,(주)제이엘정보통신,최주림,S/W,서울 금천구,2018-06-14
2354,(주)제이엘테크,이신재,기계금속,경기 안산시,2018-04-22
2355,(주)제이엠몰드,이재형,기계금속,경기 화성시,2018-11-23
2356,(주)제이유코리아,송호정,기계금속,경북 경주시,2018-12-08
2357,(주)제이케이글로벌,박정근,식품,서울 금천구,2018-12-14
2358,(주)제이케이엘컴퍼니,이진국,S/W,서울 중구,2018-05-20
2359,(주)제이콥아이앤시,진재경,기계금속,서울 구로구,2018-01-21
2360,(주)제이푸드서비스,정인기,식품,경기 안성시,2018-06-14
2361,(주)제일기공,이효원,기계금속,경기 이천시,2018-01-26
2362,(주)제일메탈테크,곽형훈,기계금속,인천 남동구,2018-08-20
2363,(주)제일바이오,심광경,바이오,경기 안산시,2018-04-05
2364,(주)제일엠앤디,이길원,기계금속,경기 화성시,2018-04-13
2365,(주)제타,신상민,기타,경기 군포시,2018-01-04
2366,(주)젠투웨이브,이찬호,전기전자,경기 성남시,2018-09-16
2367,(주)조아전자,김선희,전기전자,서울 금천구,2018-03-25
2368,(주)조이,지성준,기계금속,경기 시흥시,2018-05-26
2369,(주)조이매스,장흥룡,기타,경기 의왕시,2018-12-07
2370,(주)조이테크,김민성,기계금속,충남 천안시,2018-09-16
2371,(주)조인테크놀러지,유지상,전기전자,경기 부천시,2018-08-20
2372,(주)좋은얼굴,이주영,서비스,서울 영등포구,2018-05-27
2373,(주)주안레이저,박민수,기계금속,인천 남동구,2018-11-04
2374,(주)주영어패럴,박정은,섬유,서울 금천구,2018-06-07
2375,(주)주영에스앤티,최혜주,기계금속,경기 부천시,2018-05-31
2376,(주)주원테크산업,김성은,기타,인천 남동구,2018-08-18
2377,(주)중앙세라믹스,류훈,기타,경북 경산시,2018-11-01
2378,(주)중원인더스트리,전왕엽,전기전자,인천 부평구,2018-01-11
2379,(주)지니컨설팅,서민철,S/W,대전 유성구,2018-09-29
2380,(주)지니테크,김호인,기계금속,서울 서초구,2018-12-14
2381,(주)지란지교소프트,오치영,S/W,대전 유성구,2018-10-05
2382,(주)지벤세이프티,김대호,섬유,경기 부천시,2018-07-22
2383,(주)지서산업,김충엽,기계금속,전북 김제시,2018-04-12
2384,(주)지승컨설턴트,박종면,건설,서울 강남구,2018-05-17
2385,(주)지씨에이,이종원,기계금속,경기 화성시,2018-09-21
2386,(주)지안,최병환,전기전자,경기 하남시,2018-06-14
2387,(주)지앤와이,손판수,기계금속,경남 함안군,2018-12-03
2388,(주)지에스디,최상득,전기전자,경북 구미시,2018-06-03
2389,(주)지에스엠,조철용,기계금속,전북 군산시,2018-05-20
2390,(주)지엔티엔에스,이경우,기계금속,강원 철원군,2018-09-17
2391,(주)지엔피링크,황순신,서비스,서울 마포구,2018-04-15
2392,(주)지오그라픽스,박영숙,기타,서울 마포구,2018-06-24
2393,(주)지오넷,오일택,S/W,대전 유성구,2018-07-26
2394,(주)지오멕스소프트,심재민,S/W,강원 춘천시,2018-08-05
2395,(주)지우데코,노규만,기타,경기 안산시,2018-05-31
2396,(주)지제이테크,공연식,화학,인천 남동구,2018-07-06
2397,(주)지피,박준희,전기전자,대전 유성구,2018-01-28
2398,(주)지피엔,"단현국,김종완",전기전자,경기 안산시,2018-12-28
2399,(주)진선정밀,"유중환,서인숙",기계금속,경기 시흥시,2018-09-29
2400,(주)진성전자,서길호,전기전자,경북 구미시,2018-03-24
2401,(주)진영테크윈,송병연,기타,경북 경산시,2018-06-03
2402,(주)진영플러스,최종필,기타,경기 화성시,2018-04-22
2403,(주)진영화학,정해붕,화학,경기 화성시,2018-11-12
2404,(주)차모스코스메틱,윤찬모,화학,경기 성남시,2018-08-31
2405,(주)차밍코스메틱,신일수,화학,인천 남동구,2018-06-02
2406,(주)참네트,유재선,정보통신,충남 홍성군,2018-11-08
2407,(주)창대핫멜시트,서삼상,기타,경기 양주시,2018-10-07
2408,(주)창성테크,허진,기타,충북 음성군,2018-03-24
2409,(주)창일테크,손권수,기계금속,경기 안산시,2018-03-29
2410,(주)챌린지코리아,강선경,건설,서울 노원구,2018-02-11
2411,(주)천우,김제봉,기타,경기 시흥시,2018-04-29
2412,(주)천일,최봉규,기타,광주 광산구,2018-12-16
2413,(주)첨단공간정보,황희령,기타,전남 순천시,2018-03-12
2414,(주)청송엔지니어링,이상문,기타,대구 달서구,2018-01-28
2415,(주)청아정보통신,윤석근,S/W,서울 서대문구,2018-06-07
2416,(주)청우,이환영,기계금속,경기 김포시,2018-10-18
2417,(주)청우시그널,이형기,기계금속,경기 하남시,2018-02-04
2418,(주)청하중공업,김진섭,기계금속,경북 포항시,2018-03-02
2419,(주)청해물산,차병호,식품,경남 사천시,2018-04-27
2420,(주)초이락컨텐츠팩토리,최종일,기타,서울 구로구,2018-06-03
2421,(주)치크리트,신상철,전기전자,인천 남구,2018-04-27
2422,(주)카보랩,김우석,기타,경북 구미시,2018-11-01
2423,(주)카이,김영휘,S/W,대전 유성구,2018-08-10
2424,(주)카젠,김태진,서비스,경기 성남시,2018-11-29
2425,(주)칼라원,정태호,기타,대구 중구,2018-10-07
2426,(주)캐벨,박노환,기계금속,경기 시흥시,2018-05-10
2427,(주)케이디티엠에스,정진용,환경,경기 안산시,2018-12-03
2428,(주)케이브이에이,조병택,기계금속,충북 청주시,2018-11-04
2429,(주)케이씨넷,여영수,S/W,서울 금천구,2018-06-10
2430,(주)케이씨엘,이규찬,화학,경북 칠곡군,2018-08-20
2431,(주)케이아이엠지,김세윤,서비스,서울 강남구,2018-06-03
2432,(주)케이알,변재삼,화학,경기 부천시,2018-12-07
2433,(주)케이알테크,박진홍,기계금속,경북 경주시,2018-01-11
2434,(주)케이앤아이,어경인,전기전자,충남 천안시,2018-01-13
2435,(주)케이앤제이텍스타일,최진수,섬유,인천 서구,2018-03-03
2436,(주)케이에이치컴퍼니,강훈,기타,서울 강남구,2018-11-29
2437,(주)케이엠씨에프에이,천봉섭,기계금속,경기 화성시,2018-04-29
2438,(주)케이엠케이,진정필,기타,경기 남양주시,2018-05-26
2439,(주)케이원테크,김낙근,기계금속,충남 아산시,2018-10-12
2440,(주)케이이앤피,강병기,기계금속,부산 강서구,2018-06-04
2441,(주)케이제이소프트앤마케팅,"경수봉,김준수",정보통신,서울 강남구,2018-04-22
2442,(주)케이탑스,서동학,기타,경기 시흥시,2018-04-19
2443,(주)케이텍플러스,조벽래,기계금속,부산 강서구,2018-04-28
2444,(주)코네트인더스트리,김정숙,전기전자,인천 서구,2018-05-27
2445,(주)코노텍,박성백,전기전자,부산 금정구,2018-01-06
2446,(주)코디엠,"이우석,김태혁",기계금속,충남 천안시,2018-06-02
2447,(주)코리아에너텍,이창근,전기전자,경기 화성시,2018-09-03
2448,(주)코리아정보통신,김영식,정보통신,부산 해운대구,2018-06-23
2449,(주)코림,박현수,전기전자,경기 안산시,2018-01-26
2450,(주)코바텍,홍성호,전기전자,경북 구미시,2018-11-10
2451,(주)코스코산업,김흥준,기계금속,경기 김포시,2018-03-01
2452,(주)코시,임형택,전기전자,광주 북구,2018-04-30
2453,(주)코아엔지니어링,신규식,전기전자,충남 아산시,2018-08-17
2454,(주)코아테크,박재웅,화학,경기 남양주시,2018-11-04
2455,(주)코엘텍,김운기,전기전자,경기 의왕시,2018-04-09
2456,(주)코튼퀸,조순희,섬유,전북 익산시,2018-02-12
2457,(주)코포스,박경환,화학,충북 진천군,2018-01-28
2458,(주)콜링씨앤디,차찬수,서비스,부산 해운대구,2018-08-03
2459,(주)콤텍정보통신,송준섭,건설,서울 영등포구,2018-08-18
2460,(주)쿤스,김미경,서비스,서울 마포구,2018-11-11
2461,(주)쿨스,김영열,전기전자,경기 안양시,2018-04-22
2462,(주)큐리오스엔터테인먼트,강영환,서비스,서울 서대문구,2018-11-09
2463,(주)크레비스파트너스,김재현,서비스,서울 성동구,2018-05-10
2464,(주)크리자인,이주선,S/W,전북 전주시,2018-04-19
2465,(주)클린솔루션,조호석,환경,경북 김천시,2018-06-01
2466,(주)타임투미디어,유재수,서비스,서울 금천구,2018-09-13
2467,(주)탑엔지니어링,김원남,전기전자,경북 구미시,2018-06-25
2468,(주)탑텍코리아,모상훈,기계금속,광주 북구,2018-06-08
2469,(주)태동씨앤에스,현주빈,기타,인천 남동구,2018-04-19
2470,(주)태림산기,김대찬,기계금속,경남 창원시,2018-04-22
2471,(주)태림테크,고영수,전기전자,경기 시흥시,2018-07-27
2472,(주)태서식품,이민형,식품,강원 태백시,2018-11-24
2473,(주)태성공업,유계희,기계금속,경기 양주시,2018-09-21
2474,(주)태영정공,김영근,기계금속,경기 화성시,2018-07-27
2475,(주)태웅씨앤피,권웅일,기타,서울 중구,2018-05-13
2476,(주)태한종합건설,김근태,건설,대전 대덕구,2018-01-13
2477,(주)태현엔지니어링,남대현,기계금속,경기 김포시,2018-05-20
2478,(주)태흥이엔지,강남규,기계금속,대전 유성구,2018-05-25
2479,(주)태흥전기방식,강형길,건설,울산 남구,2018-06-01
2480,(주)테크네트,최창석,기계금속,경기 수원시,2018-06-21
2481,(주)테크맥,정우섭,기계금속,부산 기장군,2018-12-02
2482,(주)테크온,온정성,기계금속,전북 완주군,2018-05-14
2483,(주)텍스트무브,김진환,전기전자,서울 용산구,2018-11-02
2484,(주)토담,이태엽,식품,경기 안성시,2018-04-13
2485,(주)토마토플래닛,최석진,전기전자,경기 의왕시,2018-01-26
2486,(주)토스크,문강일,식품,경기 파주시,2018-06-14
2487,(주)토탈키즈,조성범,섬유,경기 김포시,2018-06-21
2488,(주)투에이치,최정훈,전기전자,경기 안양시,2018-11-23
2489,(주)툴스피아,오예탁,기계금속,경기 화성시,2018-06-21
2490,(주)튜링겐코리아,강연자,바이오,경북 청도군,2018-03-24
2491,(주)티시그린,이성진,건설,대구 달서구,2018-03-02
2492,(주)티오엠에스,오봉택,기계금속,경남 사천시,2018-02-12
2493,(주)티오피,이태일,기계금속,경기 파주시,2018-06-21
2494,(주)티지테크,손충연,화학,경기 김포시,2018-02-10
2495,(주)티케이씨,김상봉,전기전자,인천 남동구,2018-05-07
2496,(주)티티에스코퍼레이션,유우석,기계금속,경기 화성시,2018-08-11
2497,(주)티피에스,정진호,섬유,경북 칠곡군,2018-06-09
2498,(주)파익스,김영호,전기전자,서울 구로구,2018-09-16
2499,(주)파코코리아인더스,송재혁,전기전자,서울 금천구,2018-06-24
2500,(주)팬트랜스넷,박희선,서비스,서울 구로구,2018-06-03
2501,(주)퍼맥스,장근대,기계금속,경기 포천시,2018-11-01
2502,(주)퍼스트몰드,이철수,기계금속,경기 시흥시,2018-06-07
2503,(주)펜타코리아,"최정현, 조원찬",기타,경남 진주시,2018-12-16
2504,(주)평강산업개발,변문수,건설,인천 부평구,2018-11-30
2505,(주)포스젠,이재홍,S/W,서울 영등포구,2018-05-31
2506,(주)포스트미디어,김재현,S/W,부산 남구,2018-05-17
2507,(주)포시즌냉각기,김달곤,기타,경기 남양주시,2018-05-10
2508,(주)포씨엠,하수열,전기전자,경기 시흥시,2018-11-29
2509,(주)포앤비,김제성,S/W,서울 성동구,2018-06-24
2510,(주)포인디자인,안현모,기타,서울 송파구,2018-11-26
2511,(주)포켄스,구본길,화학,경기 안성시,2018-02-23
2512,(주)폴리머뱅크,김성민,화학,경북 경산시,2018-12-22
2513,(주)폴리텍,한태동,섬유,충북 옥천군,2018-05-27
2514,(주)폴리피아,유진선,화학,충남 당진시,2018-09-01
2515,(주)풍천엔지니어링,이병천,기계금속,서울 영등포구,2018-05-06
2516,(주)프라임솔루션,최석재,전기전자,경기 군포시,2018-01-08
2517,(주)프로넥스,김재영,바이오,서울 강남구,2018-02-11
2518,(주)프로맥엘이디,백경자,전기전자,광주 북구,2018-06-23
2519,(주)프릭사,김은수,기타,전남 순천시,2018-12-15
2520,(주)프린파크,최양우,기타,서울 중구,2018-10-12
2521,(주)플랜아이,이명기,S/W,대전 유성구,2018-09-15
2522,(주)피디에스,김승익,기계금속,경기 화성시,2018-02-04
2523,(주)피스코팩,길경문,화학,충남 천안시,2018-01-21
2524,(주)피앤알,이용규,기타,인천 남동구,2018-01-21
2525,(주)피오에스메카,"진석, 박홍석",S/W,서울 금천구,2018-08-12
2526,(주)필텍,김근식,바이오,전북 군산시,2018-10-07
2527,(주)필텍,최재혁,정보통신,경기 성남시,2018-11-04
2528,(주)하나사료,김영규,식품,경북 경주시,2018-06-01
2529,(주)하나지엔씨,박동일,바이오,서울 구로구,2018-02-24
2530,(주)하농,최주철,바이오,경기 고양시,2018-06-21
2531,(주)하늘엔지니어링,홍창덕,기계금속,대전 유성구,2018-06-28
2532,(주)하이셈테크놀로지,백윤천,기타,충남 아산시,2018-07-23
2533,(주)하이젠,이명식,환경,대전 유성구,2018-09-10
2534,(주)하이콤,황인철,정보통신,경기 군포시,2018-03-29
2535,(주)하이텍콘트롤,박용승,전기전자,경기 평택시,2018-07-02
2536,(주)학림,김월동,기타,경기 화성시,2018-04-09
2537,(주)한가람방재,박상준,건설,경기 의정부시,2018-06-21
2538,(주)한강이앰피,정승훈,서비스,경기 김포시,2018-04-19
2539,(주)한국계기,구본권,전기전자,경기 평택시,2018-03-04
2540,(주)한국기공,김광현,정보통신,경기 시흥시,2018-11-23
2541,(주)한국나노정밀,박중관,기계금속,경기 시흥시,2018-09-03
2542,(주)한국비엔씨,최완규,바이오,대구 달서구,2018-07-06
2543,(주)한국씨씨에스,정귀수,정보통신,서울 구로구,2018-04-05
2544,(주)한국알미늄,오지구,기타,충북 증평군,2018-02-05
2545,(주)한국지네틱팜,박명애,바이오,경기 연천군,2018-03-25
2546,(주)한국코팅,김병두,기계금속,충남 아산시,2018-09-10
2547,(주)한국콘텐츠네트워크,정용재,서비스,서울 강남구,2018-01-28
2548,(주)한그린테크,김대현,화학,서울 성북구,2018-08-12
2549,(주)한남이앤씨,조재령,정보통신,서울 금천구,2018-05-31
2550,(주)한불화농,이석,화학,경기 용인시,2018-05-20
2551,(주)한빛,곽청열,기타,충북 옥천군,2018-04-29
2552,(주)한빛에스아이,황명구,정보통신,서울 서초구,2018-06-17
2553,(주)한빛코리아,김수남,화학,경기 김포시,2018-05-12
2554,(주)한성금속,한문교,기계금속,경북 경주시,2018-06-17
2555,(주)한성피엔피,김흥천,기타,경기 파주시,2018-11-04
2556,(주)한세엔지니어링,김상진,전기전자,인천 남동구,2018-03-09
2557,(주)한스제과,안주태외2명,식품,경기 안양시,2018-03-04
2558,(주)한신미래기술,전창준,바이오,대전 유성구,2018-05-25
2559,(주)한양에코텍,최창식,섬유,경북 성주군,2018-05-12
2560,(주)한양정보통신,강경수,S/W,서울 서초구,2018-03-15
2561,(주)한울전력기술,정세중,서비스,경기 성남시,2018-07-07
